Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number,Website,COVID-19 Test Status,COVID-19 Telehealth Status,COVID-19 Telehealth Status Description
Park Slope Family Health Center at NYU Langone,"Sunset Park Health Council, Inc.",220 13th St,Brooklyn,NY,11215-4802,718-832-5980,http://nyulangone.org/locations/park-slope-family-health-center-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 10 School-Based Health Center,"Sunset Park Health Council, Inc.",511 7th Ave,Brooklyn,NY,11215-6126,718-788-6572,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
MS 88 School-Based Health Center,"Sunset Park Health Council, Inc.",544 7th Ave,Brooklyn,NY,11215-6140,718-788-6720,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Windsor Terrace Senior Center,"Sunset Park Health Council, Inc.",245 Prospect Park W,Brooklyn,NY,11215-5807,718-788-8077,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 172 School-Based Health Center,"Sunset Park Health Council, Inc.",825 4th Ave,Brooklyn,NY,11232-1701,718-965-3529,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Sunset Park High School,"Sunset Park Health Council, Inc.",153 35th St,Brooklyn,NY,11232-2307,718-840-1900,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 282 School-Based Health Center,"Sunset Park Health Council, Inc.",180 6th Ave,Brooklyn,NY,11217-3507,718-230-5707,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 24 School-Based Health Center,"Sunset Park Health Council, Inc.",427 38th St,Brooklyn,NY,11232-2514,718-832-9449,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Dewey MS 136 School-Based Health Center,"Sunset Park Health Council, Inc.",4004 4th Ave,Brooklyn,NY,11232-3402,718-965-0118,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Joseph P. Addabbo Family Health Center at Richards Street,THE ADDABBO JOSEPH P FAMILY HEALTH CENTER INC,120 Richards St,Brooklyn,NY,11231-1635,718-945-7150,http://www.addabbo.org,Yes,Yes,"As of 05/15/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 15 School-Based Health Center,"Sunset Park Health Council, Inc.",71 Sullivan St,Brooklyn,NY,11231-1600,718-788-6572,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 169 School-Based Health Center,"Sunset Park Health Council, Inc.",4305 7th Ave,Brooklyn,NY,11232-3954,718-854-6718,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Warren Street Center for Children and Families,"Sunset Park Health Council, Inc.",343 Warren St,Brooklyn,NY,11201-6412,718-237-9578,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 1 School-Based Health Center,"Sunset Park Health Council, Inc.",309 47th St,Brooklyn,NY,11220-1111,718-492-2234,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 352/375 School Based Health Center,"Sunset Park Health Council, Inc.",46 Mckeever Pl,Brooklyn,NY,11225-2503,718-941-5097,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Ezra Medical Center,EZRA MEDICAL CENTER,1312 38th St,Brooklyn,NY,11218-3612,718-686-7600,http://www.ezramedical.org,Yes,Yes,"As of 04/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Sunset Terrace Family Health Center at NYU Langone,"Sunset Park Health Council, Inc.",514 49th St,Brooklyn,NY,11220-2010,718-854-1851,http://nyulangone.org/locations/sunset-terrace-family-health-center-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Ezra Mobile Dental Van #1,EZRA MEDICAL CENTER,1312 38th St,Brooklyn,NY,11218-3612,718-686-7600,,Yes,Yes,"As of 04/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Ezra dental van -- #2,EZRA MEDICAL CENTER,1312 38th St,Brooklyn,NY,11218-3612,718-686-7600,,Yes,Yes,"As of 04/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Pershing JHS 220 School-Based Health Center,"Sunset Park Health Council, Inc.",4812 9th Ave,Brooklyn,NY,11220-2418,718-633-8200 x558,http://lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
"BROOKLYN PLAZA MEDICAL CENTER, INC.",Brooklyn Plaza Medical Center,650 Fulton St,Brooklyn,NY,11217-1517,718-596-9800,http://www.brooklynplaza.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 94 School-Based Health Center,"Sunset Park Health Council, Inc.",5010 6th Ave,Brooklyn,NY,11220-2008,718-435-7166,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Seventh Avenue Family Health Center at NYU Langone,"Sunset Park Health Council, Inc.",5008 7th Ave,Brooklyn,NY,11220-2167,718-210-1030,http://nyulangone.org/locations/seventh-avenue-family-health-center-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Bedford Avenue Clinic,"Hudson River Healthcare, Inc.",1669 Bedford Ave,Brooklyn,NY,11225-2009,855-681-8700,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Metro Community Health Centers – Downtown Brooklyn,"Sunset Park Health Council, Inc.",177 Livingston St Unit Ll,Brooklyn,NY,11201-7000,212-356-1204,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
P.S. 164,"Sunset Park Health Council, Inc.",4211 14th Ave,Brooklyn,NY,11219-1404,718-854-4100,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Downtown Brooklyn Health Center,"Housing Works Health Services III, Inc.",57 Willoughby St,Brooklyn,NY,11201-5257,718-827-8700 x4303,,Yes,Yes,"As of 07/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Fort Greene Child Health Clinic,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,295 Flatbush Avenue Ext,Brooklyn,NY,11201-3001,347-395-2400,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Erasmus Academies School-Based Health Center,"Sunset Park Health Council, Inc.",911 Flatbush Ave,Brooklyn,NY,11226-4017,718-630-8561,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 092,"Sunset Park Health Council, Inc.",601 Parkside Ave,Brooklyn,NY,11226-1509,718-462-8449,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Care Management,"Sunset Park Health Council, Inc.",5421 2nd Ave,Brooklyn,NY,11220-2605,718-630-6885,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Sunset Park Family Health Center at NYU Langone,"Sunset Park Health Council, Inc.",150 55th St,Brooklyn,NY,11220-2508,718-630-7095,http://nyulangone.org/locations/family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Family Physician Family Health Center at NYU Langone,"Sunset Park Health Council, Inc.",5616 6th Ave,Brooklyn,NY,11220-3419,718-438-5440,http://nyulangone.org/locations/family-physician-family-health-center-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Women Infants Children Family Health Center at NYU Langone,"Sunset Park Health Council, Inc.",5610 2nd Ave,Brooklyn,NY,11220-3599,718-630-7942,http://nyulangone.org/locations/sunset-park-family-health-center-at-nyu-langone-second-avenue,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
JHS 62 Ditmas,"Sunset Park Health Council, Inc.",700 Cortelyou Rd,Brooklyn,NY,11218-4806,718-941-5450,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Church Avenue Clinic,"Hudson River Healthcare, Inc.",2412 Church Ave,Brooklyn,NY,11226-4005,718-681-8700,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
HELP/PSI Brooklyn Health Center,"Hudson River Healthcare, Inc.",803 Sterling Pl,Brooklyn,NY,11216-3903,718-804-0900,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Cadman Family Health Center,"Institute For Family Health, The",300 Cadman Plz W,Brooklyn,NY,11201-3229,212-633-0815,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
CARIBBEAN HOUSE HEALTH CENTER,"Community Healthcare Network, Inc.",1167 Nostrand Ave,Brooklyn,NY,11225-5417,718-778-0198,http://www.chnnyc.org,Yes,Yes,"As of 07/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
"WHITMAN, INGERSOLL, FARRAGUT H C",Brooklyn Plaza Medical Center,297 Myrtle Ave,Brooklyn,NY,11205-2901,718-596-8000,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Occupational Health Services,"Sunset Park Health Council, Inc.",5800 3rd Ave,Brooklyn,NY,11220-3702,718-630-7195,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Lasante Health Center,,672 Parkside Ave,Brooklyn,NY,11226-2298,718-246-5700,http://www.lasantehealth.org,No,No,
PS 503/506 School-Based Health Center,"Sunset Park Health Council, Inc.",330 59th St,Brooklyn,NY,11220-3718,718-792-1467,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Atlantic Armory Health Center,"Sunset Park Health Council, Inc.",1322 Bedford Ave,Brooklyn,NY,11216-2926,718-636-3908,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
MS 61 - Dr. Gladstone H. Atwell,"Sunset Park Health Council, Inc.",400 Empire Blvd,Brooklyn,NY,11225-3202,718-774-1002,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
AUBURN ASSESSMENT CENTER,FLOATING HOSPITAL INCORPORATED (THE),39 Auburn Pl,Brooklyn,NY,11205-1946,718-872-9460,,Yes,Yes,"As of 07/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Premium Health - Womens Health,"Sunset Park Health Council, Inc.",4514 16th Ave Fl 4,Brooklyn,NY,11204-1101,718-407-7300,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
FAMILY SUPPORT CENTER,"Sunset Park Health Council, Inc.",6025 6th Ave,Brooklyn,NY,11220-4004,718-630-7171,http://nyulangone.org/locations/family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Rusk Rehabilitation at 60th Street,"Sunset Park Health Council, Inc.",230 60th St,Brooklyn,NY,11220-3712,718-439-5600,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Cumberland Diagnostic and Treatment Center,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,100 N Portland Ave,Brooklyn,NY,11205-2005,718-260-7835,http://www.gothamhealth.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Callen-Lorde Brooklyn,"Community Health Project, Inc.",40 Flatbush Avenue Ext Fl 3,Brooklyn,NY,11201-2903,212-271-7200,http://www.callen-lorde.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
P.S. 971,"Sunset Park Health Council, Inc.",6214 4th Ave,Brooklyn,NY,11220-4616,718-765-2200,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Park Ridge Family Health Center at NYU Langone,"Sunset Park Health Council, Inc.",6317 4th Ave,Brooklyn,NY,11220-4922,718-907-8100,http://nyulangone.org/locations/park-ridge-family-health-center-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
BENJAMIN BANNEKER ACADEMY SBH,Brooklyn Plaza Medical Center,77 Clinton Ave,Brooklyn,NY,11205-2302,718-834-2981,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
P.S. 217 / Magnet School of International Arts and Letters,"Sunset Park Health Council, Inc.",1100 Newkirk Ave,Brooklyn,NY,11230-1416,718-434-6960,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Premium Health Center Pediatrics,"Sunset Park Health Council, Inc.",5506 15th Ave,Brooklyn,NY,11219-4311,718-407-7300,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Ezra Medical Women's and Family Health Center,EZRA MEDICAL CENTER,1260 60th St # 78,Brooklyn,NY,11219-4976,718-741-7100,,Yes,Yes,"As of 04/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Flatbush Family Health Center at NYU Langone,"Sunset Park Health Council, Inc.",3414 Church Ave,Brooklyn,NY,11203-2714,718-940-9425,http://nyulangone.org/locations/flatbush-family-health-center-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Wingate Educational Campus,"Sunset Park Health Council, Inc.",600 Kingston Ave,Brooklyn,NY,11203-1704,718-768-0778,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Premium Health Center,"Sunset Park Health Council, Inc.",620 Foster Ave,Brooklyn,NY,11230-1399,718-407-7300,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 307 School-Based Health Center,"Sunset Park Health Council, Inc.",209 York St,Brooklyn,NY,11201-1509,718-834-6774,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 091,"Sunset Park Health Council, Inc.",532 Albany Ave,Brooklyn,NY,11203-1226,718-756-0243,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS/IS 157,"Sunset Park Health Council, Inc.",850 Kent Ave,Brooklyn,NY,11205-2702,718-622-9285,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
"Bedford Stuyvesant Family Health Center, Inc.","Bedford Stuyvesant Family Health Center, Inc., The",1456 Fulton St,Brooklyn,NY,11216-2505,718-636-4500,http://www.bsfhc.org,Yes,Yes,"As of 07/17/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 54 - SCHOOL BASED HLTH CTR,"Bedford Stuyvesant Family Health Center, Inc., The",195 Sandford St,Brooklyn,NY,11205-4525,718-858-4485,,Yes,Yes,"As of 07/17/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 256 - SCHOOL BASED HLTH CTR,"Bedford Stuyvesant Family Health Center, Inc., The",114 Kosciuszko St,Brooklyn,NY,11216-1007,718-398-4201,,Yes,Yes,"As of 07/17/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Kingsboro Men's MICA Shelter,"Housing Works Health Services III, Inc.",681 Clarkson Ave,Brooklyn,NY,11203-2125,718-363-5884,,Yes,Yes,"As of 07/24/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
"HealthCare Choices NY, Inc. - Brooklyn","HealthCare Choices NY, Inc.",6209 16th Ave,Brooklyn,NY,11204-2702,718-234-0073,http://www.healthcarechoicesny.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
ODA Primary Health Care Network,"ODA PRIMARY HEALTH CARE CENTER, INC.",74 Wallabout St,Brooklyn,NY,11249-7830,718-260-4600,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Park Avenue Primary Health Care Center,"ODA PRIMARY HEALTH CARE CENTER, INC.",517 Park Ave,Brooklyn,NY,11205-1783,718-260-4600,http://www.odahealth.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Crown Heights,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1218 Prospect Pl,Brooklyn,NY,11213-2211,718-735-0561,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Bedford Community Health Center,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,485 Throop Ave,Brooklyn,NY,11221-1037,646-614-4900,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
ODA Primary Health Care Network,"ODA PRIMARY HEALTH CARE CENTER, INC.",14 Heyward St,Brooklyn,NY,11249-7823,718-260-4600,http://www.odahealth.org,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
ODA Mobile,"ODA PRIMARY HEALTH CARE CENTER, INC.",14 Heyward St,Brooklyn,NY,11249-7823,718-260-4600,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
